Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK0022,4/20/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0023,4/21/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0024,4/22/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0025,4/23/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0026,4/24/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0027,4/25/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0028,4/26/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0029,4/27/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0030,4/28/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,ERRSYS0341
TK0031,4/29/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0032,4/30/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0033,5/1/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0034,5/2/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0035,5/3/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0036,5/4/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0037,5/5/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0038,5/6/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0039,5/7/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0040,5/8/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0041,5/9/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0042,5/10/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0043,5/11/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0044,5/12/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,ERRSYS0443
TK0045,5/13/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0046,5/14/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0047,5/15/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0048,5/16/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0049,5/17/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0050,5/18/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0051,5/19/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0052,5/20/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0053,5/21/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0054,5/22/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0055,5/23/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0056,5/24/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0057,5/25/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0058,5/26/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0059,5/27/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0060,5/28/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0061,5/29/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0062,5/30/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,ERRSYS0443
TK0063,5/31/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0064,6/1/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0065,6/2/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0066,6/3/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0067,6/4/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0068,6/5/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0069,6/6/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0070,6/7/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,ERRSYS0127
TK0071,6/8/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0072,6/9/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0073,6/10/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0074,6/11/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0075,6/12/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0076,6/13/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0077,6/14/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0078,6/15/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0079,6/16/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0080,6/17/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0081,6/18/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0082,6/19/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0083,25/07/20,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly after checked Network connection,
TK0084,25/07/20,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent after running consistency Checker,
TK0085,25/07/20,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login after password Reset,
TK0086,25/07/20,SP_FCL,Data is not getting updated,Data is not getting updated,Checked the timestamps of the data Reset the system timestamp,Reset to Timestamp. Data is now updated,
TK0087,26/07/20,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions ,Updated the user permissions to allow the menu options User is now able to access the menu options,
TK0088,26/07/20,SP_FCL,Incorrect data in the report,Incorrect data in the report,Checked the data in the report ,Re run the report again Data is now correct,
TK0089,26/07/20,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format ,Changed the data format Data is now saving without any error message,ERRFCL0111
TK0090,26/07/20,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability ,Rebooted the system System is now accessible,
TK0091,27/07/20,SP_FCL,Data is not getting updated,Data is not getting updated,Checked the timestamps of the data ,Synchronized the system time Data is now updated after Synchorization,
TK0092,27/07/20,SP_FCL,Incorrect data in the report,Incorrect data in the report,Checked the data in the report Report Ran on old Data. ,Rerun Report and Data Looks Correct now,
TK0093,27/07/20,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format ,Changed the data format Data is now saving without any error message,
TK0094,27/07/20,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection,Reinstate the Network Connection Connection is working properly,
TK0095,28/07/20,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems ,Ran the consistency checker Data is now consistent,
TK0096,28/07/20,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions,Reset the user password User is now able to login after credential updated,
TK0097,28/07/20,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions,Updated the user permissions User is now able to access the menu options after updating the sychornization,
TK0098,29/07/20,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,Sytem Rebooted and System is now accessible,
TK0099,29/07/20,SP_FCL,Data is not getting updated,Data is not getting updated,Checked the timestamps of the data,Synchronized the system time and Data Data is now updated,
TK0100,29/07/20,SP_FCL,Incorrect data in the report,Incorrect data in the report,Checked the data in the report ,Re run the report again Data is now correct,
TK0101,29/07/20,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format ,Changed the data format Data is now saving without any error message,
TK0102,30/07/20,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0103,30/07/20,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0104,30/07/20,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions ,Updated the user permissions User is now able to access the menu options,
TK0105,31/07/20,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability,Rebooted the system System is now accessible,
TK0106,31/07/20,SP_FCL,Data is not getting updated,Data is not getting updated,Checked the timestamps of the data ,Synchronized the system time Data is now updated,
TK0107,31/07/20,SP_FCL,Incorrect data in the report,Incorrect data in the report,Checked the data in the report ,Re Run the report again Data is now correct,
TK0108,1/8/2020,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems ,Ran the consistency checker Data is now consistent,
TK0109,1/8/2020,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions ,Reset the user password User is now able to login,ERRFCL0212
TK0110,2/8/2020,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
TK0111,3/8/2020,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0112,3/8/2020,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0113,3/8/2020,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0114,3/8/2020,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
TK0115,4/8/2020,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
TK0116,4/8/2020,SP_FCL,Data is not getting updated,Data is not getting updated,Checked the timestamps of the data Synchronized the system time,Data is now updated,
TK0117,4/8/2020,SP_FCL,Incorrect data in the report,Incorrect data in the report,Checked the data in the report Ran the report again,Data is now correct,
TK0118,4/8/2020,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
TK0119,5/8/2020,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0120,5/8/2020,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker, Data is now consistent,
TK0121,5/8/2020,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0122,5/8/2020,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
TK0123,6/8/2020,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
TK0124,6/8/2020,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
TK0125,7/8/2020,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0126,7/8/2020,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0127,7/8/2020,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0128,7/8/2020,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
TK0129,8/8/2020,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
TK0130,8/8/2020,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,ERRFCL0111
TK0131,9/8/2020,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0132,9/8/2020,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0133,9/8/2020,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0134,9/8/2020,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
TK0135,10/8/2020,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
TK0136,10/8/2020,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
TK0137,11/8/2020,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0138,11/8/2020,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0139,11/8/2020,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0140,11/8/2020,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
TK0141,12/8/2020,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
TK0142,12/8/2020,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
TK0143,13/08/20,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0144,13/08/20,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0145,13/08/20,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0146,13/08/20,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,ERRFCL0143
TK0147,14/08/20,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
TK0148,14/08/20,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
TK0149,15/08/20,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0150,15/08/20,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0151,15/08/20,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0152,15/08/20,SP_FCL,Unable to access the menu options,Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
TK0153,16/08/20,SP_FCL,Unable to access the system,Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
TK0154,16/08/20,SP_FCL,Error message when trying to save data,Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
TK0155,17/08/20,SP_FCL,Unable to connect to SP server,Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
TK0156,17/08/20,SP_FCL,Data inconsistency in two systems,Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
TK0157,17/08/20,SP_FCL,Issue with user authentication,Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
TK0158,4/15/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0159,4/16/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0160,4/17/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0161,4/18/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0162,4/19/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0163,4/20/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0164,4/21/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,ERRBKP0116
TK0165,4/22/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0166,4/23/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0167,4/24/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0168,4/25/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0169,4/26/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0170,4/27/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,ERRBKP0116
TK0171,4/28/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0172,4/29/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0173,4/30/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0174,5/1/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0175,5/2/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0176,5/3/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0177,5/4/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0178,5/5/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0179,5/6/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0180,5/7/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0181,5/8/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0182,5/9/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0183,5/10/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,ERRBKP0634
TK0184,5/11/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0185,5/12/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0186,5/13/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0187,5/14/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0188,5/15/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0189,5/16/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,ERRBKP0634
TK0190,5/17/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0191,5/18/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0192,5/19/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0193,5/20/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0194,5/21/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0195,5/22/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0196,5/23/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0197,5/24/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0198,5/25/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0199,5/26/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0200,5/27/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
